address,weight
0x0000000000000000000000000000000000000001,250
0x0000000000000000000000000000000000000002,180
0x0000000000000000000000000000000000000003,140
0x0000000000000000000000000000000000000004,50
0x0000000000000000000000000000000000000005,43
0x0000000000000000000000000000000000000006,30
0x0000000000000000000000000000000000000007,28
0x0000000000000000000000000000000000000008,25
0x0000000000000000000000000000000000000009,22
0x000000000000000000000000000000000000000A,20
0x000000000000000000000000000000000000000b,10
0x000000000000000000000000000000000000000C,1
0x000000000000000000000000000000000000000d,4
0x000000000000000000000000000000000000000E,7
0x000000000000000000000000000000000000000F,10
0x0000000000000000000000000000000000000010,1
0x0000000000000000000000000000000000000011,4
0x0000000000000000000000000000000000000012,7
0x0000000000000000000000000000000000000013,10
0x0000000000000000000000000000000000000014,1
0x0000000000000000000000000000000000000015,4
0x0000000000000000000000000000000000000016,7
0x0000000000000000000000000000000000000017,10
0x0000000000000000000000000000000000000018,1
0x0000000000000000000000000000000000000019,4
0x000000000000000000000000000000000000001a,7
0x000000000000000000000000000000000000001B,10
0x000000000000000000000000000000000000001c,1
0x000000000000000000000000000000000000001D,4
0x000000000000000000000000000000000000001e,7
0x000000000000000000000000000000000000001F,10
0x0000000000000000000000000000000000000020,1
0x0000000000000000000000000000000000000021,4
0x0000000000000000000000000000000000000022,7
0x0000000000000000000000000000000000000023,10
0x0000000000000000000000000000000000000024,1
0x0000000000000000000000000000000000000025,4
0x0000000000000000000000000000000000000026,7
0x0000000000000000000000000000000000000027,10
0x0000000000000000000000000000000000000028,1
0x0000000000000000000000000000000000000029,4
0x000000000000000000000000000000000000002A,7
0x000000000000000000000000000000000000002b,10
0x000000000000000000000000000000000000002c,1
0x000000000000000000000000000000000000002D,4
0x000000000000000000000000000000000000002E,7
0x000000000000000000000000000000000000002F,10
0x0000000000000000000000000000000000000030,1
0x0000000000000000000000000000000000000031,4
0x0000000000000000000000000000000000000032,7
